match_id,patch,team_a_1,team_a_2,team_a_3,team_a_4,team_a_5,team_b_1,team_b_2,team_b_3,team_b_4,team_b_5,team_a_win
NA1_5508743016,16.5,DrMundo,Leblanc,Lux,Smolder,Talon,Kassadin,Khazix,Lulu,Ornn,Zeri,0
NA1_5508351204,16.5,Ahri,Ambessa,Aphelios,Jayce,Lulu,Bard,Belveth,Ezreal,Galio,Garen,1
NA1_5510292874,16.5,Bard,Irelia,Jinx,Nunu,Sylas,Hecarim,Kayle,Ryze,Shen,Swain,1
NA1_5507341610,16.5,Caitlyn,Ivern,Lux,Malphite,Rumble,Camille,Chogath,KogMaw,Qiyana,Sona,0
NA1_5509770823,16.5,AurelionSol,Naafiri,Thresh,Yone,Zaahen,Corki,Kled,Morgana,Nunu,Sylas,1
NA1_5506924973,16.5,Akali,Jinx,Malphite,Nami,Talon,Alistar,Ekko,Neeko,Smolder,Urgot,0
NA1_5505609677,16.5,Gragas,Leona,Orianna,RekSai,Senna,Jax,Karthus,LeeSin,Thresh,Vayne,1
NA1_5508420956,16.5,Aurora,Karma,Malphite,Sivir,Yasuo,Ekko,Ezreal,Janna,Pantheon,Shen,0
NA1_5508514138,16.5,Akshan,Leona,Nocturne,Singed,Smolder,AurelionSol,Jinx,Teemo,Thresh,Zac,1
NA1_5505776291,16.5,Brand,Graves,Teemo,Vayne,Yuumi,Garen,Milio,MonkeyKing,Sivir,Viktor,1
NA1_5509034924,16.5,Camille,Lucian,Mel,Nidalee,Sona,Ekko,Jax,Nami,Taliyah,Twitch,0
NA1_5506222586,16.5,Hwei,Kayn,Lucian,Thresh,Urgot,LeeSin,Lux,MissFortune,Neeko,Ornn,0
NA1_5506686399,16.5,Camille,Graves,Kaisa,Lulu,TwistedFate,Diana,Ezreal,Gwen,Nasus,Senna,0
NA1_5509506523,16.5,Ezreal,Graves,Karma,Ryze,TwistedFate,Leona,Senna,Shen,Veigar,Zyra,0
NA1_5510202000,16.5,Aatrox,Draven,Rakan,RekSai,Syndra,Akali,Irelia,Lulu,Rammus,Ziggs,1
NA1_5507499789,16.5,Bard,Brand,Graves,Leblanc,Renekton,Jayce,RekSai,Smolder,Swain,Thresh,0
NA1_5509414916,16.5,AurelionSol,MasterYi,MissFortune,Urgot,Yuumi,Lulu,Ryze,Sylas,Yunara,Zaahen,0
NA1_5509061721,16.5,AurelionSol,Ezreal,JarvanIV,Karma,Olaf,Milio,Renekton,Sylas,Varus,XinZhao,1
NA1_5508095624,16.5,Ahri,Lucian,Nami,RekSai,Sett,Akali,Karma,Leblanc,Twitch,Zaahen,1
NA1_5505874268,16.5,Ambessa,Caitlyn,Garen,Sion,Veigar,Kennen,Pyke,Twitch,Udyr,Zaahen,0
NA1_5508283179,16.5,Akshan,Bard,Garen,Karthus,LeeSin,Kled,Naafiri,Shaco,Twitch,Vayne,0
NA1_5508910959,16.5,Alistar,Brand,JarvanIV,Syndra,Urgot,Anivia,Corki,Graves,Senna,Swain,1
NA1_5510071614,16.5,Ahri,Ambessa,Blitzcrank,Draven,Rumble,Kaisa,Kayle,Malphite,Seraphine,Volibear,1
NA1_5506616203,16.5,Aurora,Graves,JarvanIV,Mel,Nami,Jayce,Jhin,Nautilus,Orianna,Vi,1
NA1_5506075546,16.5,Galio,Jhin,Sion,Taliyah,Velkoz,Heimerdinger,Kaisa,Lulu,Malphite,RekSai,0
NA1_5510789059,16.5,Aatrox,Evelynn,Kaisa,Kassadin,Senna,Anivia,Ezreal,Graves,KSante,Nami,1
NA1_5508021133,16.5,AurelionSol,Kennen,Lulu,Twitch,Viego,Fizz,Graves,Nami,TwistedFate,Varus,0
NA1_5506474588,16.5,Janna,Jax,Lux,Sett,Vayne,Malphite,MasterYi,Pantheon,Shaco,Tristana,1
NA1_5510130928,16.5,Ambessa,Kassadin,Thresh,Zaahen,Ziggs,Amumu,Anivia,Jhin,Smolder,Udyr,1
NA1_5507060930,16.5,Ahri,Ezreal,Hecarim,Karma,Yone,Akali,Caitlyn,Lux,Skarner,Zilean,0
NA1_5509386182,16.5,Ashe,Garen,Graves,Viktor,Ziggs,Briar,KSante,Lucian,Malzahar,Zyra,0
NA1_5507344184,16.5,Ashe,Braum,MasterYi,Ornn,Yasuo,Draven,Mordekaiser,Nautilus,TwistedFate,XinZhao,0
NA1_5505737750,16.5,Ezreal,Fiora,Mel,RekSai,Shaco,Ivern,Leona,Samira,Xerath,Zed,0
NA1_5509863645,16.5,Gragas,Lucian,Nami,Shen,Yasuo,Kled,Leblanc,Mel,Pantheon,Viego,1
NA1_5507356355,16.5,Anivia,Hwei,Kindred,Malphite,Tristana,FiddleSticks,Irelia,Kled,Lucian,Nami,1
NA1_5509555872,16.5,Ashe,Nami,Sylas,Vayne,Viktor,Bard,Khazix,Neeko,Sion,TwistedFate,0
NA1_5510591091,16.5,Diana,Hecarim,Senna,Thresh,Tristana,Ekko,Pyke,Sivir,Swain,Varus,1
