match_id,patch,team_a_top,team_a_jg,team_a_mid,team_a_adc,team_a_sup,team_b_top,team_b_jg,team_b_mid,team_b_adc,team_b_sup,team_a_win
NA1_5506327319,16.5,Kennen,Udyr,Malphite,Caitlyn,Lux,Shen,Ekko,Zed,Ezreal,Pyke,0
NA1_5511003851,16.5,DrMundo,Shen,Fizz,Caitlyn,Nami,Teemo,Karthus,Naafiri,Yunara,Karma,0
NA1_5512332347,16.5,Ambessa,FiddleSticks,Irelia,Seraphine,Rell,Yone,Teemo,Talon,Vladimir,Elise,1
NA1_5509038798,16.5,Aurora,Shaco,Kassadin,Mel,Sona,Zaahen,Sylas,Kayle,Ezreal,Sett,1
NA1_5510104395,16.5,Shen,Ekko,Sett,Xayah,Rakan,Vayne,Gwen,Annie,MissFortune,Nautilus,1
NA1_5507961737,16.5,Garen,Viego,Veigar,Swain,Nami,Jayce,Hecarim,Ahri,Varus,Bard,1
NA1_5507802844,16.5,Rumble,Hecarim,Briar,MissFortune,Karma,Yone,Khazix,Elise,Kaisa,Blitzcrank,0
NA1_5511592219,16.5,Fiora,Graves,Ziggs,Aphelios,Yuumi,Qiyana,Udyr,Gwen,Lucian,Nami,0
NA1_5508195438,16.5,Urgot,XinZhao,Diana,Brand,Ashe,Yorick,Belveth,Galio,Draven,Xerath,0
NA1_5511569687,16.5,Gwen,Belveth,TwistedFate,Jinx,Milio,Renekton,Diana,Zoe,Caitlyn,Soraka,1
NA1_5510205393,16.5,Chogath,Nunu,Yone,Smolder,Lulu,Urgot,Qiyana,Malzahar,Jhin,Brand,1
NA1_5512335158,16.5,Jax,Udyr,Mel,Ashe,Thresh,Nasus,Evelynn,AurelionSol,Samira,Braum,0
NA1_5510648201,16.5,Corki,Kindred,Ahri,Ezreal,Nautilus,RekSai,Shaco,Annie,Ashe,Seraphine,0
NA1_5509651501,16.5,Varus,Graves,Orianna,Ezreal,Thresh,Yasuo,Zaahen,Sylas,Sivir,Karma,0
NA1_5512339392,16.5,Garen,XinZhao,Katarina,Tristana,Alistar,Gnar,Fizz,Vex,Ezreal,Braum,0
NA1_5509196901,16.5,Gwen,Shaco,Zoe,Jinx,Bard,Renekton,Zaahen,Mel,Lucian,Thresh,1
