match_id,patch,team_a_1,team_a_2,team_a_3,team_a_4,team_a_5,team_b_1,team_b_2,team_b_3,team_b_4,team_b_5,team_a_win
NA1_5505727366,16.5,Aurora,Karma,Qiyana,Xayah,Zac,Leblanc,Lucian,Milio,Smolder,Viego,1
NA1_5508852080,16.5,Ekko,MonkeyKing,Riven,Thresh,Varus,Gangplank,Lux,Nasus,Shaco,Zoe,0
NA1_5507801446,16.5,Ahri,Ezreal,Jax,Sona,Viego,Rakan,Riven,Rumble,TwistedFate,Xayah,1
NA1_5509231612,16.5,Ambessa,Shaco,TahmKench,Urgot,Varus,Bard,Ezreal,Kennen,Qiyana,Vi,1
NA1_5506115574,16.5,Aphelios,Evelynn,Riven,Thresh,Yasuo,Aurora,KSante,Lulu,RekSai,Yunara,1
NA1_5507790242,16.5,Ambessa,Ezreal,Khazix,Leona,Lux,Annie,Braum,Caitlyn,Jax,Talon,1
NA1_5505763223,16.5,Akali,Kayn,Lulu,Orianna,Sivir,Kaisa,Riven,Sona,Vex,XinZhao,1
NA1_5508649965,16.5,Bard,Kayle,Mel,Sivir,Viego,Corki,Gnar,Leona,Xerath,Zaahen,0
NA1_5508076510,16.5,Aatrox,MonkeyKing,Sona,Veigar,Vex,Ashe,Ivern,Katarina,Renekton,Zeri,1
NA1_5508686761,16.5,Ahri,Hecarim,Leona,MissFortune,Vayne,Alistar,Aurora,Kaisa,Mel,Zaahen,0
NA1_5506756281,16.5,Ashe,Azir,Braum,Gnar,Graves,Ekko,Janna,Ornn,Smolder,Yone,0
NA1_5506990141,16.5,Annie,Kayn,Senna,Swain,Yone,Ezreal,Graves,Katarina,Nautilus,Riven,0
NA1_5509114523,16.5,Ahri,Janna,KSante,Kaisa,Rengar,Brand,Garen,Qiyana,Senna,Thresh,1
NA1_5508594654,16.5,Aatrox,Leona,Orianna,Sivir,Taliyah,Belveth,Caitlyn,Camille,Mel,Morgana,0
NA1_5505995956,16.5,Blitzcrank,Garen,Hecarim,Jhin,Viktor,Braum,Caitlyn,Galio,Graves,KSante,1
NA1_5506910331,16.5,Akali,Akshan,Caitlyn,Elise,Pyke,Jax,Mel,Shaco,Sylas,Yunara,1
NA1_5507192082,16.5,Ambessa,Corki,Nami,Singed,Swain,Kaisa,Neeko,Shaco,Yasuo,Zaahen,0
