n_estimators,max_depth,learning_rate,subsample,colsample_bytree,train_loss,train_acc,val_loss,val_acc
400,4,0.05,0.8,0.8,0.6212567245834211,0.6511688311688312,0.6464564078376408,0.6258181818181818
400,6,0.05,0.8,0.8,0.5902790933512271,0.688935064935065,0.6469290778701972,0.6245454545454545
200,6,0.05,0.8,0.8,0.609513318444309,0.6652207792207793,0.6470382945616823,0.6221212121212121
200,4,0.05,0.8,0.8,0.6308496791821274,0.6405974025974026,0.6470924042073057,0.6245454545454545
200,4,0.1,0.8,0.8,0.6218441298941667,0.6518311688311689,0.6472640235375423,0.620969696969697
400,4,0.1,0.8,0.8,0.6078821467561805,0.6686233766233767,0.6479061901842657,0.6218787878787879
200,6,0.1,0.8,0.8,0.5912634528060045,0.6878441558441558,0.648116224117826,0.6234545454545455
400,6,0.1,0.8,0.8,0.5612880005701358,0.7228051948051948,0.651305931497274,0.622
