match_id,source_platform,source_region,patch,blue_top,blue_jg,blue_mid,blue_adc,blue_sup,red_top,red_jg,red_mid,red_adc,red_sup,blue_top_wr,blue_jg_wr,blue_mid_wr,blue_adc_wr,blue_sup_wr,red_top_wr,red_jg_wr,red_mid_wr,red_adc_wr,red_sup_wr,blue_top_games,blue_jg_games,blue_mid_games,blue_adc_games,blue_sup_games,red_top_games,red_jg_games,red_mid_games,red_adc_games,red_sup_games,blue_avg_wr,red_avg_wr,avg_wr_diff,blue_win
NA1_5514618397,NA1,AMERICAS,16.5,Fiora,JarvanIV,Zoe,Corki,Janna,LeeSin,Hecarim,TwistedFate,Yunara,Lulu,0.5870967741935483,0.5714285714285714,0.5265866209262435,0.6,0.5431034482758621,0.5089605734767025,0.6129032258064516,0.611764705882353,0.5953757225433526,0.5129032258064516,155,196,583,95,116,558,93,85,173,310,0.5656430829648451,0.5683814907030623,-0.002738407738217208,0
NA1_5514591567,NA1,AMERICAS,16.5,Camille,RekSai,Zoe,Corki,Janna,Kled,Ambessa,Akali,Yunara,Rakan,0.5304054054054054,0.5089605734767025,0.5265866209262435,0.6,0.5431034482758621,0.5257270693512305,0.5618374558303887,0.5870967741935483,0.5953757225433526,0.504,296,558,583,95,116,447,283,155,173,250,0.5418112096168427,0.554807404383704,-0.012996194766861313,0
NA1_5514563690,NA1,AMERICAS,16.5,Kled,Hecarim,Ahri,Veigar,Bard,KSante,JarvanIV,Ryze,MissFortune,Janna,0.5257270693512305,0.5494736842105263,0.5182481751824818,0.5377358490566038,0.5311653116531165,0.5111940298507462,0.5652173913043478,0.5870967741935483,0.6,0.5431034482758621,447,475,274,318,369,268,184,155,95,116,0.5324700178907917,0.561322328724901,-0.028852310834109218,1
NA1_5513230720,NA1,AMERICAS,16.5,Rumble,Graves,Katarina,Ezreal,Karma,Ornn,Olaf,TwistedFate,Corki,Janna,0.5862068965517241,0.5315068493150685,0.4960212201591512,0.5471698113207547,0.47,0.514792899408284,0.6126760563380281,0.5730337078651685,0.6,0.5431034482758621,261,365,377,159,300,169,142,267,95,116,0.5261809554693396,0.5687212223774686,-0.042540266908128954,1
NA1_5513200322,NA1,AMERICAS,16.5,Irelia,JarvanIV,Zed,Ziggs,Janna,Yasuo,Ivern,Malphite,Corki,Yuumi,0.5283018867924528,0.5089605734767025,0.5191489361702127,0.5149253731343284,0.5237068965517241,0.5185185185185185,0.5701754385964912,0.5128205128205128,0.6,0.5431034482758621,318,558,235,134,464,378,228,156,95,116,0.5190087332250841,0.5489235836422769,-0.029914850417192773,0
NA1_5513169747,NA1,AMERICAS,16.5,Zaahen,Ezreal,Galio,Seraphine,Senna,Kled,Khazix,Mel,MissFortune,Janna,0.5436241610738255,0.5487012987012987,0.5161870503597122,0.5506849315068493,0.56,0.5120967741935484,0.6103896103896104,0.5764705882352941,0.6,0.5431034482758621,298,308,556,365,150,496,77,85,95,116,0.5438394883283372,0.568412084218863,-0.02457259589052585,1
NA1_5513143936,NA1,AMERICAS,16.5,Warwick,Ivern,Ahri,Smolder,Soraka,DrMundo,JarvanIV,Seraphine,MissFortune,Janna,0.5142857142857142,0.5913978494623656,0.5882352941176471,0.5046728971962616,0.5429864253393665,0.547945205479452,0.5714285714285714,0.5506849315068493,0.6,0.5431034482758621,70,93,187,214,221,438,196,365,95,116,0.548315636080271,0.562632431338147,-0.014316795257875992,0
NA1_5513104877,NA1,AMERICAS,16.5,Darius,Poppy,Ekko,MissFortune,Janna,Soraka,Hecarim,Kassadin,Yunara,Swain,0.5813953488372093,0.5659340659340659,0.5825242718446602,0.6,0.5431034482758621,0.4984709480122324,0.6482412060301508,0.5138888888888888,0.5267379679144385,0.4881889763779528,215,182,206,95,116,327,199,360,374,381,0.5745914269783595,0.5351055974447327,0.03948582953362678,1
NA1_5513083167,NA1,AMERICAS,16.5,Warwick,Talon,Xerath,Smolder,Swain,Anivia,DrMundo,Zed,MissFortune,Janna,0.5055970149253731,0.5348837209302325,0.536144578313253,0.5120967741935484,0.4850894632206759,0.5356037151702786,0.5352564102564102,0.638095238095238,0.6,0.5431034482758621,536,301,166,248,503,323,312,105,95,116,0.5147623103166166,0.5704117623595578,-0.05564945204294125,0
NA1_5511795721,NA1,AMERICAS,16.5,Volibear,Elise,Zed,Corki,Janna,Teemo,Hecarim,Yasuo,Zeri,Karma,0.4915254237288136,0.540268456375839,0.5151515151515151,0.6,0.5431034482758621,0.518918918918919,0.6129032258064516,0.6061946902654868,0.5113636363636364,0.5099009900990099,118,298,330,95,116,370,93,226,264,404,0.538009768706406,0.5518562922907007,-0.013846523584294612,1
NA1_5511781238,NA1,AMERICAS,16.5,Irelia,Khazix,Xerath,Viktor,Karma,Zaahen,Jayce,Syndra,Zeri,Janna,0.6666666666666666,0.5666666666666667,0.6048387096774194,0.5146520146520146,0.5517241379310345,0.725,0.8809523809523809,0.5111731843575419,0.6,0.5431034482758621,45,30,124,546,290,40,42,358,95,116,0.5809096391187604,0.652045802717157,-0.07113616359839658,1
NA1_5511758224,NA1,AMERICAS,16.5,Zaahen,Graves,Viktor,Seraphine,Karma,Sion,Brand,Ryze,Zeri,Janna,0.5190114068441065,0.5246478873239436,0.5111111111111111,0.5358255451713395,0.5,0.5495049504950495,0.5961538461538461,0.5636363636363636,0.6,0.5431034482758621,526,568,405,321,382,202,104,275,95,116,0.5181191900901002,0.5704797217122243,-0.05236053162212406,0
NA1_5511737813,NA1,AMERICAS,16.5,Malphite,Graves,Galio,Mel,Janna,Sylas,MonkeyKing,Xerath,MissFortune,Seraphine,0.5111111111111111,0.5093457943925234,0.6854838709677419,0.6,0.5431034482758621,0.5730337078651685,0.5089605734767025,0.5466666666666666,0.5448275862068965,0.5644171779141104,405,214,124,95,116,267,558,225,145,163,0.5698088449494476,0.5475811424259089,0.022227702523538673,0
NA1_5511715201,NA1,AMERICAS,16.5,Sion,Ezreal,Ryze,Viktor,Janna,Azir,Graves,Xerath,Jinx,Thresh,0.5210643015521065,0.5360824742268041,0.5356037151702786,0.6,0.5431034482758621,0.5030674846625767,0.5079365079365079,0.6048387096774194,0.552,0.5322033898305085,451,291,323,95,116,163,252,124,125,295,0.5471707878450103,0.5400092184214025,0.007161569423607794,0
NA1_5511701999,NA1,AMERICAS,16.5,Zed,LeeSin,Galio,Twitch,Rakan,Neeko,Rumble,Yasuo,MissFortune,Janna,0.5319148936170213,0.5192307692307693,0.5870646766169154,0.5249169435215947,0.6604938271604939,0.5209580838323353,0.5886524822695035,0.6854838709677419,0.6,0.5431034482758621,188,208,201,301,162,167,141,124,95,116,0.5647242220293589,0.5876395770690885,-0.022915355039729635,1
NA1_5511692932,NA1,AMERICAS,16.5,Pantheon,Graves,Anivia,Viktor,Janna,Kayle,Viego,Akshan,Corki,Seraphine,0.5119047619047619,0.5079365079365079,0.5030674846625767,0.6,0.5431034482758621,0.5178571428571429,0.4971751412429379,0.5588235294117647,0.5329341317365269,0.4870689655172414,336,252,163,95,116,224,354,102,334,696,0.5332024405559417,0.5187717821531228,0.014430658402818874,1
