match_id,patch,blue_top,blue_jg,blue_mid,blue_adc,blue_sup,red_top,red_jg,red_mid,red_adc,red_sup,blue_win
NA1_5506327319,16.5,Shen,Ekko,Zed,Ezreal,Pyke,Kennen,Udyr,Malphite,Caitlyn,Lux,1
NA1_5511003851,16.5,Teemo,Karthus,Naafiri,Yunara,Karma,DrMundo,Shen,Fizz,Caitlyn,Nami,1
NA1_5512332347,16.5,Ambessa,FiddleSticks,Irelia,Seraphine,Rell,Yone,Teemo,Talon,Vladimir,Elise,1
NA1_5509038798,16.5,Zaahen,Sylas,Kayle,Ezreal,Sett,Aurora,Shaco,Kassadin,Mel,Sona,0
NA1_5510104395,16.5,Shen,Ekko,Sett,Xayah,Rakan,Vayne,Gwen,Annie,MissFortune,Nautilus,1
NA1_5507961737,16.5,Jayce,Hecarim,Ahri,Varus,Bard,Garen,Viego,Veigar,Swain,Nami,0
NA1_5507802844,16.5,Yone,Khazix,Elise,Kaisa,Blitzcrank,Rumble,Hecarim,Briar,MissFortune,Karma,1
NA1_5511592219,16.5,Fiora,Graves,Ziggs,Aphelios,Yuumi,Qiyana,Udyr,Gwen,Lucian,Nami,0
NA1_5508195438,16.5,Urgot,XinZhao,Diana,Brand,Ashe,Yorick,Belveth,Galio,Draven,Xerath,0
NA1_5511569687,16.5,Renekton,Diana,Zoe,Caitlyn,Soraka,Gwen,Belveth,TwistedFate,Jinx,Milio,0
NA1_5510205393,16.5,Urgot,Qiyana,Malzahar,Jhin,Brand,Chogath,Nunu,Yone,Smolder,Lulu,0
NA1_5512335158,16.5,Nasus,Evelynn,AurelionSol,Samira,Braum,Jax,Udyr,Mel,Ashe,Thresh,1
NA1_5510648201,16.5,RekSai,Shaco,Annie,Ashe,Seraphine,Corki,Kindred,Ahri,Ezreal,Nautilus,1
NA1_5509651501,16.5,Yasuo,Zaahen,Sylas,Sivir,Karma,Varus,Graves,Orianna,Ezreal,Thresh,1
NA1_5512339392,16.5,Garen,XinZhao,Katarina,Tristana,Alistar,Gnar,Fizz,Vex,Ezreal,Braum,0
NA1_5509196901,16.5,Renekton,Zaahen,Mel,Lucian,Thresh,Gwen,Shaco,Zoe,Jinx,Bard,0
NA1_5509135813,16.5,Sion,Khazix,Viktor,TwistedFate,Zac,Garen,MasterYi,Annie,Caitlyn,Zilean,1
NA1_5505755860,16.5,Teemo,Kayn,Sylas,Sivir,Lulu,Garen,Rengar,Varus,AurelionSol,Morgana,0
NA1_5510872451,16.5,Malphite,Vi,Ahri,Corki,Nami,Gnar,Taliyah,Aurora,Xayah,Lulu,0
NA1_5511126427,16.5,Aurora,Volibear,Ekko,Jinx,Leona,Garen,Elise,Ahri,Vayne,Braum,1
NA1_5510786496,16.5,Jax,Sylas,Kassadin,Lucian,Poppy,Olaf,Kayn,Malzahar,Kaisa,Lulu,0
NA1_5505679091,16.5,Gwen,Kindred,Kayle,Jhin,Karma,Vladimir,Urgot,Ahri,Draven,Seraphine,0
NA1_5505946715,16.5,Gnar,JarvanIV,Malzahar,Yunara,Bard,Vayne,Lillia,Xerath,Corki,Nautilus,1
NA1_5509418336,16.5,Aatrox,Jayce,Akali,Draven,Pyke,Yone,Khazix,Ahri,Veigar,Rell,1
NA1_5509555481,16.5,Ornn,XinZhao,Viktor,MissFortune,JarvanIV,Yone,Elise,Orianna,Caitlyn,Rakan,0
NA1_5510930925,16.5,MasterYi,Udyr,Sion,Mel,Alistar,Yone,Rammus,Fizz,Caitlyn,Nami,0
NA1_5511511957,16.5,Sejuani,Nocturne,TwistedFate,Caitlyn,Karma,Darius,Shaco,Xerath,Jinx,Pyke,0
NA1_5509618511,16.5,Zed,Olaf,Brand,Twitch,Lulu,Gnar,Zac,Ryze,Varus,Nautilus,1
NA1_5512420714,16.5,Sion,Kindred,Lissandra,Ashe,Karma,Vayne,Graves,Galio,Twitch,Maokai,0
NA1_5509788382,16.5,Teemo,Graves,Ryze,Sivir,Thresh,Sion,Udyr,Hwei,TahmKench,Zilean,0
NA1_5512267453,16.5,Gwen,LeeSin,Fiora,Jinx,Alistar,TahmKench,Kindred,Fizz,Smolder,Shen,0
NA1_5506688851,16.5,Mordekaiser,RekSai,Yone,Yunara,Janna,Aatrox,Nocturne,Swain,Jinx,Lulu,0
NA1_5509581021,16.5,Zac,Qiyana,Lissandra,Twitch,Lulu,Riven,Graves,Akali,Ashe,Thresh,1
NA1_5509380660,16.5,Varus,Nocturne,Taliyah,Kaisa,Leona,Kled,Kayn,Yone,Mel,Janna,0
