match_id,patch,blue_1,blue_2,blue_3,blue_4,blue_5,red_1,red_2,red_3,red_4,red_5,blue_win
NA1_5505727366,16.5,Aurora,Karma,Qiyana,Xayah,Zac,Leblanc,Lucian,Milio,Smolder,Viego,1
NA1_5508852080,16.5,Ekko,MonkeyKing,Riven,Thresh,Varus,Gangplank,Lux,Nasus,Shaco,Zoe,0
NA1_5507801446,16.5,Rakan,Riven,Rumble,TwistedFate,Xayah,Ahri,Ezreal,Jax,Sona,Viego,0
NA1_5509231612,16.5,Bard,Ezreal,Kennen,Qiyana,Vi,Ambessa,Shaco,TahmKench,Urgot,Varus,0
NA1_5506115574,16.5,Aphelios,Evelynn,Riven,Thresh,Yasuo,Aurora,KSante,Lulu,RekSai,Yunara,1
NA1_5507790242,16.5,Annie,Braum,Caitlyn,Jax,Talon,Ambessa,Ezreal,Khazix,Leona,Lux,0
NA1_5505763223,16.5,Kaisa,Riven,Sona,Vex,XinZhao,Akali,Kayn,Lulu,Orianna,Sivir,0
NA1_5508649965,16.5,Corki,Gnar,Leona,Xerath,Zaahen,Bard,Kayle,Mel,Sivir,Viego,1
NA1_5508076510,16.5,Ashe,Ivern,Katarina,Renekton,Zeri,Aatrox,MonkeyKing,Sona,Veigar,Vex,0
NA1_5508686761,16.5,Ahri,Hecarim,Leona,MissFortune,Vayne,Alistar,Aurora,Kaisa,Mel,Zaahen,0
NA1_5506756281,16.5,Ekko,Janna,Ornn,Smolder,Yone,Ashe,Azir,Braum,Gnar,Graves,1
NA1_5506990141,16.5,Annie,Kayn,Senna,Swain,Yone,Ezreal,Graves,Katarina,Nautilus,Riven,0
NA1_5509114523,16.5,Ahri,Janna,KSante,Kaisa,Rengar,Brand,Garen,Qiyana,Senna,Thresh,1
NA1_5508594654,16.5,Belveth,Caitlyn,Camille,Mel,Morgana,Aatrox,Leona,Orianna,Sivir,Taliyah,1
NA1_5505995956,16.5,Braum,Caitlyn,Galio,Graves,KSante,Blitzcrank,Garen,Hecarim,Jhin,Viktor,0
NA1_5506910331,16.5,Jax,Mel,Shaco,Sylas,Yunara,Akali,Akshan,Caitlyn,Elise,Pyke,0
NA1_5507192082,16.5,Kaisa,Neeko,Shaco,Yasuo,Zaahen,Ambessa,Corki,Nami,Singed,Swain,1
