match_id,source_platform,source_region,patch,blue_top,blue_jg,blue_mid,blue_adc,blue_sup,red_top,red_jg,red_mid,red_adc,red_sup,blue_top_wr,blue_jg_wr,blue_mid_wr,blue_adc_wr,blue_sup_wr,red_top_wr,red_jg_wr,red_mid_wr,red_adc_wr,red_sup_wr,blue_top_games,blue_jg_games,blue_mid_games,blue_adc_games,blue_sup_games,red_top_games,red_jg_games,red_mid_games,red_adc_games,red_sup_games,blue_avg_wr,red_avg_wr,avg_wr_diff,blue_win
EUW1_7786499778,EUW1,EUROPE,16.6,Sion,Briar,Cassiopeia,Zeri,Yuumi,Gnar,Nunu,Azir,Yunara,Sona,0.5375494071146245,0.508955223880597,0.5337078651685393,0.4939759036144578,0.5058651026392962,0.5598705501618123,0.538235294117647,0.6346153846153846,0.5299539170506913,0.4928909952606635,253,670,178,830,682,309,340,104,651,211,0.516010700483503,0.5511132282412398,-0.03510252775773681,1
EUW1_7786438041,EUW1,EUROPE,16.6,Jayce,Briar,Anivia,Varus,Karma,Nasus,Belveth,Cassiopeia,Smolder,Leona,0.5254237288135594,0.508955223880597,0.5163636363636364,0.5301204819277109,0.5095238095238095,0.5205479452054794,0.49603174603174605,0.5270655270655271,0.49101796407185627,0.5490196078431373,177,670,275,166,420,438,252,351,167,204,0.5180773761018627,0.5167365580435492,0.001340818058313431,1
EUW1_7786348620,EUW1,EUROPE,16.6,Shyvana,Ambessa,Fizz,MissFortune,Shen,Garen,Briar,Diana,Mel,Elise,0.5266903914590747,0.5686274509803921,0.5115606936416185,0.5031645569620253,0.5099337748344371,0.5309973045822103,0.508955223880597,0.5249169435215947,0.5596330275229358,0.561046511627907,281,204,346,316,302,371,670,301,109,344,0.5239953735755096,0.537109802227049,-0.013114428651539334,1
EUW1_7786295289,EUW1,EUROPE,16.6,Rumble,Khazix,Taliyah,Ezreal,Maokai,Sion,Shyvana,Syndra,Yunara,Nautilus,0.618421052631579,0.5247933884297521,0.49850746268656715,0.5596330275229358,0.5196374622356495,0.5076045627376425,0.5126984126984127,0.5117370892018779,0.5139949109414759,0.508955223880597,76,242,335,109,331,526,630,213,393,670,0.5441984787012968,0.5109980398920012,0.033200438809295574,1
EUW1_7786105401,EUW1,EUROPE,16.6,Shen,Pantheon,Zoe,Kaisa,Mel,Camille,Briar,Yasuo,Lux,Rell,0.5156739811912225,0.5266903914590747,0.5219941348973607,0.5216216216216216,0.514792899408284,0.622093023255814,0.508955223880597,0.5505050505050505,0.5233644859813084,0.5363984674329502,638,281,341,370,338,172,670,198,214,261,0.5201546057155128,0.548263250211144,-0.02810864449563122,0
EUW1_7786029659,EUW1,EUROPE,16.6,Aatrox,Briar,Aurora,Yasuo,Veigar,Akali,Ivern,XinZhao,Qiyana,Elise,0.4817204301075269,0.508955223880597,0.5229357798165137,0.5086206896551724,0.515748031496063,0.6571428571428571,0.5643564356435643,0.5184275184275184,0.5090439276485789,0.518581081081081,465,670,327,696,254,70,404,407,387,592,0.5075960309911747,0.55351036398872,-0.045914332997545326,0
EUW1_7785968520,EUW1,EUROPE,16.6,Sett,Briar,Ziggs,Xayah,Rakan,Quinn,Shaco,Syndra,Yasuo,Poppy,0.6833333333333333,0.508955223880597,0.553030303030303,0.5041186161449753,0.5393700787401575,0.48148148148148145,0.5110803324099723,0.6074074074074074,0.5808823529411765,0.5141843971631206,120,670,264,607,254,324,722,135,136,282,0.5577615110258732,0.5390071942806316,0.01875431674524164,0
EUW1_7785927478,EUW1,EUROPE,16.6,Yasuo,Briar,Katarina,Corki,Zac,RekSai,Vi,Vex,Yunara,Shen,0.5478547854785478,0.508955223880597,0.6153846153846154,0.5777777777777777,0.5659574468085107,0.5145631067961165,0.5194805194805194,0.5375375375375375,0.5198675496688742,0.5220264317180616,303,670,195,225,235,206,308,333,302,454,0.5631859698660098,0.5226950290402218,0.04049094082578797,0
EUW1_7785813337,EUW1,EUROPE,16.6,Rumble,RekSai,Akali,Lucian,Leona,Vladimir,Briar,Leblanc,Ashe,Poppy,0.5240384615384616,0.5030181086519114,0.5170603674540682,0.5766423357664233,0.5666666666666667,0.5869565217391305,0.508955223880597,0.519455252918288,0.4984126984126984,0.5337423312883436,416,497,381,137,150,138,670,514,315,163,0.5374851880155063,0.5295044056478115,0.007980782367694728,1
EUW1_7786295078,EUW1,EUROPE,16.6,Ambessa,Qiyana,Ahri,AurelionSol,Bard,Renekton,Shyvana,Xerath,Katarina,Janna,0.5550847457627118,0.540650406504065,0.5461783439490446,0.5272206303724928,0.5521739130434783,0.5456140350877193,0.5636363636363636,0.6290322580645161,0.5603864734299517,0.6607142857142857,236,246,628,349,230,570,220,186,207,224,0.5442616079263585,0.5918766831865673,-0.047615075260208806,1
