match_id,patch,blue_top,blue_jg,blue_mid,blue_adc,blue_sup,red_top,red_jg,red_mid,red_adc,red_sup,blue_win
NA1_5509859462,16.5,Yone,Zyra,Hwei,Jhin,Rakan,Gwen,Lillia,Yasuo,Sivir,Lulu,0
NA1_5509417809,16.5,Darius,Sylas,Chogath,Jhin,Pantheon,Sion,Nunu,Leblanc,Ashe,Senna,1
NA1_5508865334,16.5,Sion,Naafiri,Aurora,Ezreal,Bard,Gragas,JarvanIV,Ahri,Jhin,Annie,1
NA1_5510613075,16.5,Aatrox,Lillia,Talon,MissFortune,Rell,Yorick,Nocturne,Zoe,Varus,Soraka,1
NA1_5511055728,16.5,Renekton,Jayce,Sylas,TahmKench,Senna,Ornn,Hecarim,Yone,AurelionSol,Swain,0
NA1_5511030502,16.5,AurelionSol,JarvanIV,Sylas,Varus,Seraphine,Akali,Chogath,TwistedFate,Lucian,Yuumi,0
NA1_5506131363,16.5,Varus,Shen,Malzahar,Caitlyn,Morgana,Ryze,Talon,Kassadin,Smolder,Thresh,0
NA1_5511920008,16.5,Sett,Brand,Zed,Vayne,Briar,Shen,Nocturne,Diana,Jinx,Leona,0
NA1_5511645139,16.5,Vayne,Ekko,Zed,Smolder,Sona,Irelia,Shyvana,Vex,Katarina,Braum,0
NA1_5509997068,16.5,Graves,Jax,Annie,Swain,Pyke,Urgot,Vi,Viktor,Yasuo,Soraka,1
NA1_5511764567,16.5,Irelia,Sylas,Ahri,Xayah,Zyra,Warwick,XinZhao,Yone,Vayne,Lulu,1
NA1_5510467075,16.5,Urgot,Evelynn,Kassadin,Xayah,Milio,Kennen,Nocturne,Diana,Tristana,Braum,0
NA1_5509950133,16.5,Aatrox,Viego,Ahri,Kaisa,Pyke,Ivern,Hecarim,Naafiri,Veigar,Yuumi,1
NA1_5511886521,16.5,DrMundo,Briar,Lux,Rengar,Alistar,Aatrox,Zaahen,Viktor,Kaisa,Nautilus,1
NA1_5511903127,16.5,Vayne,JarvanIV,Aurora,Ezreal,Janna,Kayle,Sylas,Akali,Jhin,Seraphine,1
NA1_5506715212,16.5,Vayne,JarvanIV,Sylas,Lucian,Yuumi,Nasus,Kindred,Qiyana,Jhin,Milio,0
NA1_5508792671,16.5,Singed,Nocturne,Akali,Yunara,Blitzcrank,Aurora,Khazix,Anivia,Sett,Senna,1
NA1_5510959546,16.5,Irelia,Fizz,Zed,Brand,Thresh,Fiora,Talon,Qiyana,Ezreal,Karma,1
NA1_5510782468,16.5,Vladimir,Graves,Singed,Corki,Karma,Darius,Zac,Velkoz,KogMaw,Milio,1
NA1_5509677430,16.5,Warwick,Belveth,Galio,Ezreal,Karma,Zaahen,Shen,Ekko,Yunara,Lulu,1
NA1_5510160283,16.5,MonkeyKing,Nocturne,Vladimir,Lucian,Milio,Pantheon,Hecarim,Kayle,Ezreal,Nami,1
NA1_5511623722,16.5,Kindred,Udyr,Syndra,Senna,Nautilus,Gnar,MonkeyKing,Tryndamere,Mel,Janna,1
NA1_5506474263,16.5,Mordekaiser,XinZhao,Syndra,Twitch,Yuumi,Ornn,Hecarim,Zed,Taliyah,Bard,1
NA1_5506963824,16.5,Illaoi,JarvanIV,Sylas,Ezreal,Karma,Gwen,LeeSin,Veigar,Zeri,Morgana,0
NA1_5507302068,16.5,Singed,Shaco,Yasuo,Mel,Nami,Mordekaiser,Vi,Veigar,MissFortune,Zilean,1
NA1_5511930073,16.5,Aatrox,Talon,Akali,Tristana,Blitzcrank,KSante,Khazix,Katarina,Jhin,Leona,1
NA1_5511321082,16.5,Aurora,Hecarim,Akshan,Samira,Rell,Urgot,Graves,Katarina,Senna,TahmKench,1
NA1_5510530372,16.5,Riven,Chogath,Mel,Lucian,Pyke,Vayne,Sylas,Neeko,Corki,Nami,0
NA1_5511799317,16.5,Gangplank,Chogath,Graves,Brand,Nami,Ryze,Ambessa,Varus,Draven,Thresh,0
NA1_5505746366,16.5,Anivia,Talon,Ryze,Jinx,Alistar,Gnar,Graves,Orianna,MissFortune,Karma,1
NA1_5511246409,16.5,Darius,Hecarim,Sylas,Jhin,Janna,Vayne,Ekko,Fizz,Ashe,Nautilus,1
NA1_5510087707,16.5,Renekton,FiddleSticks,Katarina,Ashe,Swain,Fiora,Udyr,Yasuo,KogMaw,Karma,0
NA1_5511141204,16.5,KSante,Ambessa,Qiyana,Kaisa,Karma,Camille,Ekko,Tryndamere,Mel,Nami,0
NA1_5511203875,16.5,Olaf,Vi,Fizz,Jinx,Sona,Illaoi,Maokai,Akshan,Ezreal,Nami,1
